product_title,product_handle,variant,sku,price,product_total_units,variants_total,variants_at_zero,pct_variants_dead,admin_url
"Carbon Classic Tee","carbon-classic-tee","BRONZE / XXL","C111212485605",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","NUDE / S","C11121248A801",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","NUDE / M","C11121248A802",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","NUDE / L","C11121248A803",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","NUDE / XL","C11121248A804",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","NUDE / XXL","C11121248A805",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","PINK / S","C111212480801",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","PINK / M","C111212480802",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","PINK / L","C111212480803",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","PINK / XL","C111212480804",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","PINK / XXL","C111212480805",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BURGUNDY / S","C11121248B801",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BURGUNDY / M","C11121248B802",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BURGUNDY / L","C11121248B803",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BURGUNDY / XL","C11121248B804",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BURGUNDY / XXL","C11121248B805",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","OLIVE / S","C111212484001",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","OLIVE / M","C111212484002",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","OLIVE / L","C111212484003",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","OLIVE / XL","C111212484004",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","OLIVE / XXL","C111212484005",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BLACK / S","C111212480701",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BLACK / M","C111212480702",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BLACK / L","C111212480703",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BLACK / XL","C111212480704",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BLACK / XXL","C111212480705",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","STONE / S","C111212484801",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","STONE / M","C111212484802",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","STONE / L","C111212484803",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","STONE / XL","C111212484804",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","STONE / XXL","C111212484805",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Classic Industry T-Shirt","classic-industry-t-shirt","WHITE / S","C111214231101",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","WHITE / M","C111214231102",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","WHITE / L","C111214231103",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","WHITE / XL","C111214231104",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","RED / S","C111214230101",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","RED / M","C111214230102",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","RED / L","C111214230103",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","RED / XL","C111214230104",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","RED / XXL","C111214230105",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","BLACK / S","C111214230701",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","BLACK / M","C111214230702",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","BLACK / L","C111214230703",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","BLACK / XL","C111214230704",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Classic Industry T-Shirt","classic-industry-t-shirt","BLACK / XXL","C111214230705",41.00,6,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","WHITE / S","C111214251101",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","WHITE / M","C111214251102",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","WHITE / L","C111214251103",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","WHITE / XL","C111214251104",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLACK / S","C111214250701",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLACK / M","C111214250702",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLACK / L","C111214250703",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLACK / XL","C111214250704",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLACK / XXL","C111214250705",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLUE / S","C111214250201",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLUE / M","C111214250202",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLUE / L","C111214250203",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLUE / XL","C111214250204",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt","BLUE / XXL","C111214250205",41.00,10,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","WHITE / S","C111214291101",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","WHITE / M","C111214291102",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","WHITE / L","C111214291103",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","WHITE / XL","C111214291104",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","BLACK / S","C111214290701",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","BLACK / M","C111214290702",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","BLACK / L","C111214290703",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","BLACK / XL","C111214290704",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","BLACK / XXL","C111214290705",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","MUSTARD / S","C111214293201",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","MUSTARD / M","C111214293202",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","MUSTARD / L","C111214293203",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","MUSTARD / XL","C111214293204",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt","MUSTARD / XXL","C111214293205",41.00,2,15,14,93,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","WHITE / S","C111214111101",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","WHITE / M","C111214111102",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","WHITE / L","C111214111103",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","WHITE / XL","C111214111104",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","BLACK / S","C111214110701",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","BLACK / M","C111214110702",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","BLACK / L","C111214110703",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","BLACK / XL","C111214110704",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt","BLACK / XXL","C111214110705",42.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","LILAC / S","C11121403B301",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","LILAC / L","C11121403B303",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","LILAC / XL","C11121403B304",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","LILAC / XXL","C11121403B305",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","BLACK / S","C111214030701",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","BLACK / M","C111214030702",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","BLACK / L","C111214030703",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","BLACK / XL","C111214030704",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt","BLACK / XXL","C111214030705",44.00,1,10,9,90,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","BEIGE / S","112546235S",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","BEIGE / M","112546235M",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","BEIGE / XL","112546235XL",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","GREY / S","112546204S",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","GREY / M","112546204M",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","GREY / L","112546204L",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Simplify T-Shirt","simplify-t-shirt","GREY / XL","112546204XL",66.00,4,8,7,88,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","LILAC / S","C11121401B301",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","LILAC / M","C11121401B302",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","LILAC / L","C11121401B303",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","LILAC / XL","C11121401B304",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","WHITE / S","C111214011101",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","WHITE / M","C111214011102",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","WHITE / L","C111214011103",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","WHITE / XXL","C111214011105",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","BLACK / S","C111214010701",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","BLACK / M","C111214010702",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","BLACK / L","C111214010703",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","BLACK / XL","C111214010704",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt","BLACK / XXL","C111214010705",46.00,2,15,13,87,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Creed Jeans","creed-jeans","BLUE / 29","C111110090229",95.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Creed Jeans","creed-jeans","BLUE / 30","C111110090230",95.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Creed Jeans","creed-jeans","BLUE / 32","C111110090232",95.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Creed Jeans","creed-jeans","BLUE / 33","C111110090233",95.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Creed Jeans","creed-jeans","BLUE / 34","C111110090234",95.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Creed Jeans","creed-jeans","BLUE / 36","C111110090236",95.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Lewis Jeans","lewis-jeans","GREY WASHED / 30","1124073C430",104.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Lewis Jeans","lewis-jeans","GREY WASHED / 31","1124073C431",104.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Lewis Jeans","lewis-jeans","GREY WASHED / 33","1124073C433",104.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Lewis Jeans","lewis-jeans","GREY WASHED / 34","1124073C434",104.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Lewis Jeans","lewis-jeans","GREY WASHED / 36","1124073C436",104.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Lewis Jeans","lewis-jeans","GREY WASHED / 38","1124073C438",104.00,1,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Simon Jeans","simon-jeans","GREY WASHED / 30","1222070C430",98.00,7,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Simon Jeans","simon-jeans","GREY WASHED / 32","1222070C432",98.00,7,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Simon Jeans","simon-jeans","GREY WASHED / 33","1222070C433",98.00,7,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Simon Jeans","simon-jeans","GREY WASHED / 34","1222070C434",98.00,7,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Simon Jeans","simon-jeans","GREY WASHED / 36","1222070C436",98.00,7,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Simon Jeans","simon-jeans","GREY WASHED / 38","1222070C438",98.00,7,7,6,86,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Amira Bodysuit","amira-bodysuit","BEIGE / S","C125117173501",42.00,1,6,5,83,"https://admin.shopify.com/store/30e7d3/products?query=amira-bodysuit"
"Amira Bodysuit","amira-bodysuit","BEIGE / M","C125117173502",42.00,1,6,5,83,"https://admin.shopify.com/store/30e7d3/products?query=amira-bodysuit"
"Amira Bodysuit","amira-bodysuit","BLACK / S","C125117170701",42.00,1,6,5,83,"https://admin.shopify.com/store/30e7d3/products?query=amira-bodysuit"
"Amira Bodysuit","amira-bodysuit","BLACK / M","C125117170702",42.00,1,6,5,83,"https://admin.shopify.com/store/30e7d3/products?query=amira-bodysuit"
"Amira Bodysuit","amira-bodysuit","BLACK / L","C125117170703",42.00,1,6,5,83,"https://admin.shopify.com/store/30e7d3/products?query=amira-bodysuit"
"City View T-Shirt","city-view-t-shirt","WHITE / S","C111214191101",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","WHITE / M","C111214191102",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","WHITE / L","C111214191103",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","MINK / S","C11121419B401",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","MINK / M","C11121419B402",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","MINK / L","C11121419B403",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","MINK / XL","C11121419B404",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"City View T-Shirt","city-view-t-shirt","BLACK / S","C111214190701",39.00,4,15,12,80,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
