rank,units_in_stock,retail_price,stock_value_usd,title,handle,product_type,photos_needed,admin_url
25,47,58.0,2726,"Mike Evening Shorts","mike-evening-shorts","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mike-evening-shorts"
26,34,80.0,2720,"Liam Full Zipper Sweater Jacket","liam-full-zipper-sweater-jacket","MEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=liam-full-zipper-sweater-jacket"
27,46,56.0,2576,"Highest Self T-Shirt","highest-self-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=highest-self-t-shirt"
28,23,108.0,2484,"Kylo Jeans","kylo-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=kylo-jeans"
29,28,88.0,2464,"Leroy Pants","leroy-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=leroy-pants"
30,68,36.0,2448,"Bikini Top Set B","bikini-top-set-b","WOMEN >> SWIMSUIT","YES","https://admin.shopify.com/store/30e7d3/products?query=bikini-top-set-b"
31,26,94.0,2444,"Mens Jeans AX","mens-jeans-ax","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-jeans-ax"
32,43,56.0,2408,"Mclaren T-Shirt","mclaren-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=mclaren-t-shirt"
33,50,48.0,2400,"Amelia Bodysuit","amelia-bodysuit","WOMEN >> BODYSUIT","YES","https://admin.shopify.com/store/30e7d3/products?query=amelia-bodysuit"
34,36,66.0,2376,"Gothic T-Shirt Set","gothic-t-shirt-set","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=gothic-t-shirt-set"
35,79,30.0,2370,"Zuri Knit Bottom","zuri-knit-bottom","WOMEN >> SWIMSUIT","YES","https://admin.shopify.com/store/30e7d3/products?query=zuri-knit-bottom"
36,39,60.0,2340,"Allen Shorts","allen-shorts","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=allen-shorts"
37,26,89.0,2314,"Thomas Shirt","thomas-shirt","MEN >> BUTTON SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=thomas-shirt"
38,33,69.0,2277,"Orson Shirt","orson-shirt","MEN >> BUTTON SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=orson-shirt"
39,26,85.0,2210,"Theo Denim Shirt","theo-denim-shirt","MEN >> DENIM JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=theo-denim-shirt"
40,33,66.0,2178,"Gothic Shorts Set","gothic-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=gothic-shorts-set"
41,46,46.0,2116,"Oversized Basic T-Shirt","oversized-basic-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=oversized-basic-t-shirt"
42,31,66.0,2046,"Kinda T-Shirt","kinda-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=kinda-t-shirt"
43,17,118.0,2006,"Troy Jeans","troy-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=troy-jeans"
44,19,105.0,1995,"Mario Jeans","mario-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=mario-jeans"
45,47,41.0,1927,"Luke Denim Shorts","leopard-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=leopard-shorts-set"
46,34,55.0,1870,"Callie Pants Set","callie-pants-set","WOMEN >> SWEATPANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=callie-pants-set"
47,33,56.0,1848,"Respect T-Shirt","respect-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=respect-t-shirt"
48,23,79.0,1817,"Leslie Blazer","leslie-blazer","WOMEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=leslie-blazer"
49,31,56.0,1736,"Harry T-Shirt","harry-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=harry-t-shirt"
50,21,78.0,1638,"Harrison Pants","harrison-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=harrison-pants"
51,16,102.0,1632,"Pedro Jeans","pedro-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=pedro-jeans"
52,23,69.0,1587,"Henry Pants","henry-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=henry-pants"
53,28,55.0,1540,"Callie Top Set","callie-top-set","WOMEN >> SWEATSHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=callie-top-set"
54,17,89.0,1513,"Stronger Pants","stronger-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=stronger-pants"
55,14,105.0,1470,"Barry Jeans","barry-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=barry-jeans"
56,24,60.0,1440,"P&Q T-Shirt","p-q-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=p-q-t-shirt"
57,17,84.0,1428,"Glory Cargo Pants","glory-cargo-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=glory-cargo-pants"
58,17,84.0,1428,"Duane Cargo Pants","duane-cargo-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=duane-cargo-pants"
59,14,102.0,1428,"Jermone Jeans","jermone-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=jermone-jeans"
60,20,71.0,1420,"Retrowave Top Set","retrowave-top-set","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=retrowave-top-set"
61,32,43.0,1376,"Womens Short Jeans F","womens-short-jeans-f","WOMEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=womens-short-jeans-f"
62,13,105.0,1365,"Dale Jeans","dale-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=dale-jeans"
63,26,51.0,1326,"Classic Skirt","classic-skirt","WOMEN >> SKIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=classic-skirt"
64,21,62.0,1302,"W Long Pants B","w-long-pants-b","WOMEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=w-long-pants-b"
65,26,50.0,1300,"David Shirt","david-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=david-shirt"
66,29,43.0,1247,"Shiloh Bodysuit","shiloh-bodysuit","WOMEN >> BODYSUIT","YES","https://admin.shopify.com/store/30e7d3/products?query=shiloh-bodysuit"
67,24,51.0,1224,"Michael Denim Shorts","michael-denim-shorts","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=michael-denim-shorts"
68,20,61.0,1220,"Retrowave Shorts Set","retrowave-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=retrowave-shorts-set"
69,14,87.0,1218,"Jake Denim Shirt","jake-denim-shirt","MEN >> DENIM SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=jake-denim-shirt"
70,17,69.0,1173,"Banks Shirt","banks-shirt","MEN >> BUTTON SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=banks-shirt"
71,21,55.0,1155,"Morgan Top Set","morgan-top-set","WOMEN >> SWEATSHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=morgan-top-set"
72,19,60.0,1140,"Mind T-Shirt Set","mind-t-shirt-set","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=mind-t-shirt-set"
73,19,60.0,1140,"Mind Shorts Set","mind-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mind-shorts-set"
74,20,56.0,1120,"Los Angeles Shirt","los-angeles-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=los-angeles-shirt"
75,20,55.0,1100,"Morgan Pants Set","morgan-pants-set","WOMEN >> SWEATPANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=morgan-pants-set"
76,9,118.0,1062,"Luis Jeans","luis-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=luis-jeans"
77,23,44.0,1012,"Buttons Padded Shirt","buttons-padded-shirt","WOMEN >> TEES","YES","https://admin.shopify.com/store/30e7d3/products?query=buttons-padded-shirt"
78,13,72.0,936,"Checkers Top Set","checkers-top-set","MEN >> BUTTON SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=checkers-top-set"
79,14,66.0,924,"Francis Pants","francis-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=francis-pants"
80,8,108.0,864,"21 College Jacket","21-college-jacket","MEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=21-college-jacket"
81,12,72.0,864,"Checkers Shorts Set","checkers-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=checkers-shorts-set"
82,22,39.0,858,"Men Swim Bottom F","men-swim-bottom-f","MEN >> SWIMWEAR","YES","https://admin.shopify.com/store/30e7d3/products?query=men-swim-bottom-f"
83,11,78.0,858,"George Pants","george-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=george-pants"
84,15,54.0,810,"Emmet Sweater","emmet-sweater","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=emmet-sweater"
85,11,72.0,792,"Jesse Pants","jesse-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=jesse-pants"
86,12,65.0,780,"Code T-Shirt","code-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=code-t-shirt"
87,8,93.0,744,"Tony Pants","tony-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=tony-pants"
88,12,61.0,732,"Something Pants Set","something-pants-set","MEN >> SWEATPANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=something-pants-set"
89,10,71.0,710,"Palm Top Set","palm-top-set","TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=palm-top-set"
90,15,47.0,705,"Bascketball Shorts Set","bascketball-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=bascketball-shorts-set"
91,10,69.0,690,"Trust T-Shirt","trust-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=trust-t-shirt"
92,10,68.0,680,"Crew T-Shirt","crew-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=crew-t-shirt"
93,11,61.0,671,"Danna Sweater","danna-sweater","WOMEN >> TOPS","YES","https://admin.shopify.com/store/30e7d3/products?query=danna-sweater"
94,8,83.0,664,"Jaxon Joggers","jaxon-joggers","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=jaxon-joggers"
95,10,65.0,650,"Leroy Sweatshirt","leroy-sweatshirt","MEN >> SWEATSHIRTS","YES","https://admin.shopify.com/store/30e7d3/products?query=leroy-sweatshirt"
96,6,108.0,648,"Flawless Zone College Jacket","flawless-zone-college-jacket","MEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=flawless-zone-college-jacket"
97,12,53.0,636,"Basic OS Shorts Set","basic-os-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=basic-os-shorts-set"
98,12,52.0,624,"Bascketball Top Set","bascketball-top-set","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=bascketball-top-set"
99,10,61.0,610,"Palm Shorts Set","palm-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=palm-shorts-set"
100,29,20.0,580,"Pride Hat Men","pride-hat-men","MEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=pride-hat-men"
101,4,140.0,560,"Walter Puffer Coat","walter-puffer-coat","MEN >> COAT","YES","https://admin.shopify.com/store/30e7d3/products?query=walter-puffer-coat"
102,5,111.0,555,"Manuel Jeans","manuel-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=manuel-jeans"
103,4,138.0,552,"Derek Jeans","derek-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=derek-jeans"
104,11,49.0,539,"Play T-Shirt","play-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=play-t-shirt"
105,26,20.0,520,"Pride Hat Women","pride-hat-women","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=pride-hat-women"
106,9,55.0,495,"Mens Denim Shorts O","mens-denim-shorts-o","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-denim-shorts-o"
107,15,32.0,480,"Sandals","sandals","WOMEN >> SHOES","YES","https://admin.shopify.com/store/30e7d3/products?query=sandals"
108,8,60.0,480,"Asher Shorts Set","asher-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=asher-shorts-set"
109,8,60.0,480,"Asher Shirt Set","asher-shirt-set","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=asher-shirt-set"
110,8,54.0,432,"Oppression Shirt","oppression-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=oppression-shirt"
111,9,48.0,432,"Ryland Short Set","ryland-short-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=ryland-short-set"
112,8,53.0,424,"Chester Shirt","chester-shirt","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=chester-shirt"
113,7,58.0,406,"Mens Denim Shorts I","mens-denim-shorts-i","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-denim-shorts-i"
114,5,76.0,380,"V-Cool Hoodie","v-cool-hoodie","MEN >> SWEATSHIRTS","YES","https://admin.shopify.com/store/30e7d3/products?query=v-cool-hoodie"
115,7,53.0,371,"Basic OS Top Set","basic-os-top-set","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=basic-os-top-set"
116,5,68.0,340,"Something Top Set","something-top-set","MEN >> SWEATSHIRTS","YES","https://admin.shopify.com/store/30e7d3/products?query=something-top-set"
117,6,49.0,294,"Dark T-Shirt","dark-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=dark-t-shirt"
118,5,58.0,290,"Mens Denim Shorts","mens-denim-shorts-m","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-denim-shorts-m"
119,13,22.0,286,"Cindy Shorts","cindy-shorts","WOMEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=cindy-shorts"
120,3,92.0,276,"Fashion Hoodie AA","fashion-hoodie-aa","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=fashion-hoodie-aa"
121,4,69.0,276,"Erodes T-Shirt","erodes-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=erodes-t-shirt"
122,5,55.0,275,"Mens Denim Shorts","mens-denim-shorts-s","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-denim-shorts-s"
123,7,39.0,273,"Long Legging C","long-legging-c","WOMEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=long-legging-c"
124,3,90.0,270,"Carl Puffer Vest","carl-puffer-vest","MEN >> VEST","YES","https://admin.shopify.com/store/30e7d3/products?query=carl-puffer-vest"
125,6,44.0,264,"Luisa Top","luisa-top","WOMEN >> TOPS","YES","https://admin.shopify.com/store/30e7d3/products?query=luisa-top"
126,3,68.0,204,"Papillon T-Shirt","papillon-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=papillon-t-shirt"
127,2,95.0,190,"Casey Jogger","casey-jogger","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=casey-jogger"
128,3,59.0,177,"Joshua Shirt Set","joshua-shirt-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=joshua-shirt-set"
129,3,59.0,177,"Joshua Shorts Set","joshua-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=joshua-shorts-set"
130,4,41.0,164,"Turns Out T-Shirt","turns-out-t-shirt","MEN >> T-SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=turns-out-t-shirt"
131,3,49.0,147,"One Shot T-Shirt","one-shot-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=one-shot-t-shirt"
132,2,72.0,144,"Bryan Hoodie","bryan-hoodie","MEN >> SWEATSHIRTS","YES","https://admin.shopify.com/store/30e7d3/products?query=bryan-hoodie"
133,3,45.0,135,"Exceptional T-Shirt","exceptional-t-shirt","MEN >> T-SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=exceptional-t-shirt"
134,1,135.0,135,"Ricky Jeans","ricky-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=ricky-jeans"
135,2,63.0,126,"Off Limits T-Shirt","off-limits-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=off-limits-t-shirt"
136,2,58.0,116,"Steven Top Set","steven-top-set","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=steven-top-set"
137,1,111.0,111,"Rocker Jacket","rocker-jacket","MEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=rocker-jacket"
138,2,53.0,106,"Clark Shirt","clark-shirt","MEN >> TOP","YES","https://admin.shopify.com/store/30e7d3/products?query=clark-shirt"
139,2,53.0,106,"Social Club T-Shirt","social-club-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=social-club-t-shirt"
140,2,52.0,104,"Full Swimsuit A","full-swimsuit-a","WOMEN >> SWIMSUIT","YES","https://admin.shopify.com/store/30e7d3/products?query=full-swimsuit-a"
141,2,50.0,100,"Steven Shorts Set","steven-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=steven-shorts-set"
142,4,24.0,96,"Necklace H","necklace-h","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=necklace-h"
143,1,95.0,95,"Mens Jeans AD","mens-jeans-ad","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-jeans-ad"
144,3,24.0,72,"Necklace Q","necklace-q","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=necklace-q"
145,3,24.0,72,"Necklace G","necklace-g","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=necklace-g"
146,1,69.0,69,"Power T-Shirt","power-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=power-t-shirt"
147,1,68.0,68,"Palmier T-Shirt","palmier-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=palmier-t-shirt"
148,1,66.0,66,"Become T-Shirt","become-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=become-t-shirt"
149,1,58.0,58,"Mens Denim Shorts K","mens-denim-shorts-k","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-denim-shorts-k"
150,1,49.0,49,"Religion T-Shirt","religion-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=religion-t-shirt"
151,1,49.0,49,"Wonderland T-Shirt","wonderland-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=wonderland-t-shirt"
152,2,24.0,48,"Necklace C","necklace-c","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=necklace-c"
153,1,48.0,48,"More Shorts Set","more-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=more-shorts-set"
154,1,47.0,47,"James Shorts Set","james-shorts-set","MEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=james-shorts-set"
155,1,24.0,24,"Braided Bracelet I","braided-bracelet-i","MEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=braided-bracelet-i"
156,1,21.0,21,"Beaded Bracelet W","beaded-bracelet-w","MEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=beaded-bracelet-w"
157,1,14.0,14,"Bracelet D","bracelet-d","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=bracelet-d"
158,1,14.0,14,"Bracelet B","bracelet-b","WOMEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=bracelet-b"
