product_title,product_handle,variants_total,variants_at_zero,pct_dead,units_left,price,admin_url
"Chloe Dress","chloe-dress",3,2,67,4,97.00,"https://admin.shopify.com/store/30e7d3/products?query=chloe-dress"
"Harlow Mini Skirt","harlow-mini-skirt",3,2,67,3,57.00,"https://admin.shopify.com/store/30e7d3/products?query=harlow-mini-skirt"
"Marleigh Top","marleigh-top",3,2,67,2,43.00,"https://admin.shopify.com/store/30e7d3/products?query=marleigh-top"
"More Love T-Shirt","more-love-t-shirt",3,2,67,1,33.00,"https://admin.shopify.com/store/30e7d3/products?query=more-love-t-shirt"
"River Top Set","river-top-set",3,2,67,3,37.00,"https://admin.shopify.com/store/30e7d3/products?query=river-top-set"
"Sean Knit Sweater","sean-knit-sweater",16,10,63,29,45.00,"https://admin.shopify.com/store/30e7d3/products?query=sean-knit-sweater"
"Alia Short Legging","alia-short-legging",8,5,63,29,40.00,"https://admin.shopify.com/store/30e7d3/products?query=alia-short-legging"
"Mac Pants","mac-pants",8,5,63,9,76.00,"https://admin.shopify.com/store/30e7d3/products?query=mac-pants"
"Mason Jeans","mason-jeans",8,5,63,17,89.00,"https://admin.shopify.com/store/30e7d3/products?query=mason-jeans"
"Smile More Hoodie","smile-more-hoodie",8,5,63,11,79.00,"https://admin.shopify.com/store/30e7d3/products?query=smile-more-hoodie"
"Smile Tank Top","smile-tank-top",8,5,63,8,44.00,"https://admin.shopify.com/store/30e7d3/products?query=smile-tank-top"
"Successful Tank","successful-tank",15,9,60,20,34.00,"https://admin.shopify.com/store/30e7d3/products?query=successful-tank"
"Reflect Your Style T-Shirt","reflect-your-style-t-shirt",10,6,60,30,44.00,"https://admin.shopify.com/store/30e7d3/products?query=reflect-your-style-t-shirt"
"Jerry Puffer Coat","jerry-puffer-coat",5,3,60,3,110.00,"https://admin.shopify.com/store/30e7d3/products?query=jerry-puffer-coat"
"Zipper Sneakers","zipper-sneakers",12,7,58,12,52.00,"https://admin.shopify.com/store/30e7d3/products?query=zipper-sneakers"
"Carlos Jeans","carlos-jeans",7,4,57,15,98.00,"https://admin.shopify.com/store/30e7d3/products?query=carlos-jeans"
"Dax Jeans","dax-jeans",7,4,57,4,102.00,"https://admin.shopify.com/store/30e7d3/products?query=dax-jeans"
"Elliott Jeans","elliott-jeans",7,4,57,26,98.00,"https://admin.shopify.com/store/30e7d3/products?query=elliott-jeans"
"Hunter Denim Shorts","hunter-denim-shorts",7,4,57,11,67.00,"https://admin.shopify.com/store/30e7d3/products?query=hunter-denim-shorts"
"Samuel Denim Shorts","samuel-denim-shorts",7,4,57,11,65.00,"https://admin.shopify.com/store/30e7d3/products?query=samuel-denim-shorts"
"Wade Denim Shorts","wade-denim-shorts",7,4,57,10,58.00,"https://admin.shopify.com/store/30e7d3/products?query=wade-denim-shorts"
"Furry Slippers","furry-slippers",15,8,53,19,20.00,"https://admin.shopify.com/store/30e7d3/products?query=furry-slippers"
"Revolution T-Shirt","revolution-t-shirt",15,8,53,20,42.00,"https://admin.shopify.com/store/30e7d3/products?query=revolution-t-shirt"
